title,subtitle,link,link2,link3,image,_merge
تسجيل رغبات التخصص لطلاب المستوى العام,لمزيد من المعلومات برجاء الاطلاع على الملف المرفق,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/FA24-ADM_AN_020.pdf,,,,both
مواعيد العمل بقاعة العمل التشاركي والجماعي,لمزيد من المعلومات برجاء الاطلاع على الملف المرفق,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/FA24-ADM_AN_019.pdf,,,,both
نتيجة المراجعة الإدارية لشهادات التدريب الصناعي – خريف2024,لمزيد من المعلومات برجاء الاطلاع على الملف المرفق,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/FA24-ADM_AN_018.pdf,,,,both
المرحلة الأولى لتسجيل المقررات الدراسية لفصل ربيع 2025,لمزيد من المعلومات برجاء الاطلاع على الملفات المرفقة,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/FA24-ADM_AN_017.pdf,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/FA24-ADM_AN_017-Registration-Rules-Calendar_Spring-2025-part1-01.pdf,,,both
نتيجة طلبات/التماسات المراجعة الإدارية لشهادات التدريب الصناعي – صيف 2024,لمزيد من المعلومات برجاء الاطلاع على الملف المرفق,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/FA24-ADM_AN_016.pdf,,,,both
التذكرة بمرحلة التقييم الدوري للعملية التعليمية,لمزيد من المعلومات برجاء الاطلاع على الملف المرفق,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/FA24-ADM_AN_015.pdf,,,,both
تسجيل مقرر اللغة الأجنبية في ربيع 2025GENS207(Foreign language),لمزيد من المعلومات برجاء الاطلاع على الملف المرفق,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/FA24-ADM_AN_014.pdf,,,,both
امتحان اللغة الإنجليزية,لمزيد من المعلومات برجاء الاطلاع على الملف المرفق,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/FA24-ADM_AN_013.pdf,,,,both
مرحلة التقييم الدوري للعملية التعليمية,لمزيد من المعلومات برجاء الاطلاع على الملفات المرفقة,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/FA24-ADM_AN_012.pdf,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/FA24-ADM_AN_012-Evaluation-Tutorial-08.pdf,,,both
المحاضرة التعريفية بالبرامج التخصصية طلاب المستوى العام,لمزيد من المعلومات برجاء الاطلاع على الملف المرفق,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/FA24-ADM_AN_011.pdf,,,,both
